doctor_id,doctor_name,specialty,clinic_name,city,region,tier,active_flag,last_updated
D0045,Dr Khaled Hassan,Cardiology,Elite Clinic,Siwa,West,A,1,2024-10-14
D0046,Dr Mohamed Mostafa,General Practice,Life Clinic,Siwa,West,A,1,2024-12-08
D0047,Dr Khaled El-Sayed,General Practice,Shifa Clinic,Port Said,East,A,1,2023-11-12
D0048,Dr Ali Ali,Endocrinology,Hope Clinic,Qena,South,C,1,2024-07-27
D0049,Dr Mohamed Ali,Endocrinology,Life Clinic,Dubai,Gulf,C,0,2025-04-10
D0050,Dr Ali Saad,Neurology,Care Clinic,Qena,South,C,1,2024-11-16
D0051,Dr Mohamed Hassan,Internal Medicine,Noor Clinic,Ismailia,East,B,1,2024-04-26
D0052,Dr Khaled Mahmoud,Endocrinology,Life Clinic,Suez,East,B,1,2024-02-13
D0053,Dr Khaled El-Sayed,General Practice,Life Clinic,Suez,East,B,0,2024-07-03
D0054,Dr Omar Mahmoud,Gastroenterology,Noor Clinic,Ismailia,East,A,1,2023-12-20
D0055,Dr Omar Ali,Pediatrics,Life Clinic,Cairo,Central,C,1,2023-02-15
D0056,Dr Hassan Mahmoud,Neurology,Elite Clinic,Cairo,Central,B,0,2023-12-05
D0057,Dr Youssef Saad,Gastroenterology,Shifa Clinic,Damanhur,North,C,1,2023-12-01
D0058,Dr Omar Hassan,Endocrinology,Hope Clinic,Cairo,Central,B,0,2024-11-24
D0059,Dr Mohamed Ali,Pediatrics,Hope Clinic,Giza,Central,C,1,2023-10-21
D0060,Dr Youssef Saad,ENT,Care Clinic,Giza,Central,B,1,2024-06-07
D0061,Dr Ahmed Hassan,Gastroenterology,Elite Clinic,Dubai,Gulf,C,1,2023-12-10
D0062,Dr Hassan El-Sayed,Endocrinology,Noor Clinic,Ismailia,East,A,1,2024-05-01
D0063,Dr Omar El-Sayed,Pediatrics,Life Clinic,Marsa Matruh,West,B,1,2024-11-02
D0064,Dr Ahmed Mostafa,Pulmonology,Care Clinic,Marsa Matruh,West,C,1,2024-04-20
D0065,Dr Hassan Mahmoud,Pulmonology,Noor Clinic,Tanta,North,C,1,2024-07-26
D0066,Dr Youssef Ali,General Practice,Shifa Clinic,Giza,Central,B,1,2025-06-01
D0067,Dr Mohamed Mahmoud,Gastroenterology,Noor Clinic,Qena,South,C,1,2024-10-03
D0068,Dr Ahmed Hassan,Gastroenterology,Care Clinic,Damanhur,North,B,1,2024-07-07
D0069,Dr Khaled Mostafa,Pulmonology,Noor Clinic,Sohag,South,C,1,2024-02-22
D0070,Dr Hassan Saad,Endocrinology,Life Clinic,Marsa Matruh,West,C,1,2025-02-27
D0071,Dr Youssef Ali,ENT,Hope Clinic,Giza,Central,A,1,2025-02-10
D0072,Dr Mohamed Mahmoud,General Practice,Noor Clinic,Jeddah,Gulf,C,1,2024-05-14
D0073,Dr Omar Hassan,Pediatrics,Noor Clinic,Marsa Matruh,West,B,1,2024-02-19
D0074,Dr Omar El-Sayed,General Practice,Life Clinic,Qena,South,A,1,2024-07-31
D0075,Dr Youssef Mahmoud,Pulmonology,Care Clinic,Riyadh,Gulf,C,1,2023-09-24
D0076,Dr Ali Ali,Neurology,Shifa Clinic,Siwa,West,C,1,2025-02-09
D0077,Dr Mohamed Saad,Cardiology,Life Clinic,Tanta,North,C,1,2023-12-25
D0078,Dr Hassan Hassan,Cardiology,Care Clinic,Dubai,Gulf,C,1,2023-01-21
D0079,Dr Khaled Mahmoud,Internal Medicine,Care Clinic,Sohag,South,C,1,2024-12-17
D0080,Dr Khaled Mostafa,Pulmonology,Elite Clinic,Cairo,Central,C,1,2023-01-27
D0081,Dr Mohamed El-Sayed,Endocrinology,Elite Clinic,Siwa,West,A,1,2024-10-04
D0082,Dr Khaled Mostafa,Internal Medicine,Noor Clinic,Port Said,East,C,1,2023-02-12
D0083,Dr Youssef Ali,Internal Medicine,Life Clinic,Riyadh,Gulf,C,1,2025-05-19
D0084,Dr Hassan Saad,ENT,Shifa Clinic,Siwa,West,C,1,2025-01-21
D0085,Dr Khaled Hassan,ENT,Life Clinic,Giza,Central,B,1,2023-10-02
D0086,Dr Youssef Mahmoud,Endocrinology,Life Clinic,Suez,East,C,1,2024-11-15
D0087,Dr Khaled Mahmoud,Pulmonology,Hope Clinic,Siwa,West,B,1,2023-09-22
D0088,Dr Mohamed Saad,General Practice,Noor Clinic,Riyadh,Gulf,A,0,2023-03-29
D0089,Dr Ahmed El-Sayed,ENT,Shifa Clinic,Marsa Matruh,West,C,1,2025-03-22
D0090,Dr Hassan Mostafa,Endocrinology,Shifa Clinic,Sohag,South,B,1,2024-04-29
D0091,Dr Mohamed El-Sayed,Neurology,Elite Clinic,Siwa,West,C,1,2023-09-15
D0092,Dr Mohamed Hassan,Internal Medicine,Care Clinic,Sohag,South,C,0,2024-12-07
D0093,Dr Hassan Mahmoud,Gastroenterology,Life Clinic,Riyadh,Gulf,C,0,2024-06-21
D0094,Dr Hassan Hassan,Endocrinology,Shifa Clinic,Sohag,South,B,1,2024-12-26
D0095,Dr Ali Ali,General Practice,Life Clinic,Alexandria,North,B,0,2024-10-15
D0096,Dr Ahmed Mahmoud,Gastroenterology,Noor Clinic,Damanhur,North,B,1,2023-07-08
D0097,Dr Ahmed Hassan,Pediatrics,Care Clinic,Alexandria,North,B,1,2024-12-03
D0098,Dr Youssef Mostafa,Internal Medicine,Hope Clinic,Giza,Central,C,1,2025-02-21
D0099,Dr Ali Mostafa,General Practice,Noor Clinic,Cairo,Central,B,0,2023-11-01
D0100,Dr Mohamed Saad,Cardiology,Care Clinic,Port Said,East,C,1,2025-02-20
D0101,Dr Mohamed El-Sayed,Internal Medicine,Noor Clinic,Port Said,East,B,1,2023-03-18
D0102,Dr Omar Ali,Gastroenterology,Life Clinic,Siwa,West,A,1,2023-10-17
D0103,Dr Ali Hassan,Gastroenterology,Noor Clinic,Dubai,Gulf,C,1,2024-11-08
D0104,Dr Mohamed El-Sayed,Endocrinology,Life Clinic,Damanhur,North,C,0,2025-04-26
D0105,Dr Omar Ali,Gastroenterology,Shifa Clinic,Sohag,South,B,1,2023-11-08
D0106,Dr Omar Mahmoud,ENT,Hope Clinic,Giza,Central,A,1,2024-03-18
D0107,Dr Hassan Mostafa,Internal Medicine,Life Clinic,Ismailia,East,B,1,2025-05-31
D0108,Dr Omar Ali,Cardiology,Shifa Clinic,Riyadh,Gulf,C,1,2024-06-15
D0109,Dr Youssef Mahmoud,Pediatrics,Noor Clinic,Qena,South,C,1,2023-04-04
D0110,Dr Youssef Mahmoud,Internal Medicine,Elite Clinic,Suez,East,C,1,2024-12-11
D0111,Dr Ali Ali,ENT,Hope Clinic,Marsa Matruh,West,A,1,2023-04-29
D0112,Dr Khaled Mostafa,General Practice,Noor Clinic,Damanhur,North,B,1,2024-06-14
D0113,Dr Youssef Saad,Cardiology,Noor Clinic,Riyadh,Gulf,B,1,2023-10-22
D0114,Dr Hassan Ali,Endocrinology,Life Clinic,Alexandria,North,C,1,2023-01-15
D0115,Dr Youssef Saad,ENT,Shifa Clinic,Asyut,South,C,1,2023-06-07
D0116,Dr Youssef Mostafa,Pediatrics,Care Clinic,Giza,Central,C,0,2023-09-07
D0117,Dr Khaled Ali,General Practice,Shifa Clinic,Marsa Matruh,West,C,1,2023-03-13
D0118,Dr Hassan Saad,Cardiology,Noor Clinic,Giza,Central,B,1,2024-08-24
D0119,Dr Hassan Ali,General Practice,Noor Clinic,Sohag,South,B,1,2025-02-20
D0120,Dr Youssef El-Sayed,Endocrinology,Shifa Clinic,Ismailia,East,C,1,2025-03-05
D0121,Dr Omar Hassan,Pediatrics,Noor Clinic,Riyadh,Gulf,B,1,2025-04-20
D0122,Dr Ali Ali,General Practice,Life Clinic,Alexandria,North,C,1,2023-04-13
D0123,Dr Mohamed El-Sayed,Cardiology,Noor Clinic,Giza,Central,C,1,2024-11-01
D0124,Dr Omar Mostafa,Pediatrics,Noor Clinic,Suez,East,C,1,2025-05-22
D0125,Dr Mohamed Saad,ENT,Elite Clinic,Port Said,East,C,1,2023-03-12
D0126,Dr Omar El-Sayed,Internal Medicine,Noor Clinic,Ismailia,East,B,1,2024-10-10
D0127,Dr Ahmed Mahmoud,Gastroenterology,Shifa Clinic,Qena,South,C,1,2025-03-26
D0128,Dr Ali Hassan,Pulmonology,Care Clinic,Suez,East,B,1,2024-11-29
D0129,Dr Mohamed Hassan,Pediatrics,Noor Clinic,Asyut,South,C,1,2024-08-20
D0130,Dr Youssef Mahmoud,ENT,Elite Clinic,Riyadh,Gulf,B,1,2025-04-03
D0131,Dr Khaled Saad,Internal Medicine,Noor Clinic,Cairo,Central,B,1,2024-08-24
D0132,Dr Ali Ali,ENT,Life Clinic,Riyadh,Gulf,C,1,2024-01-29
D0133,Dr Ahmed Saad,Neurology,Noor Clinic,Sohag,South,C,0,2023-10-30
D0134,Dr Khaled Hassan,Cardiology,Hope Clinic,Ismailia,East,C,1,2025-05-02
D0135,Dr Ali Saad,Endocrinology,Elite Clinic,Ismailia,East,C,1,2025-01-08
D0136,Dr Ali Ali,Internal Medicine,Life Clinic,Qena,South,C,1,2023-11-13
D0137,Dr Youssef Hassan,Pulmonology,Care Clinic,Giza,Central,A,1,2025-02-04
D0138,Dr Mohamed Mahmoud,Neurology,Noor Clinic,Qena,South,C,0,2025-04-30
D0139,Dr Mohamed Hassan,Neurology,Elite Clinic,Port Said,East,C,1,2023-03-19
D0140,Dr Ahmed Ali,Pediatrics,Life Clinic,Jeddah,Gulf,C,1,2024-01-10
D0141,Dr Khaled Mostafa,Internal Medicine,Noor Clinic,Port Said,East,B,1,2024-11-19
D0142,Dr Hassan Mahmoud,Internal Medicine,Hope Clinic,Riyadh,Gulf,C,1,2024-09-26
D0143,Dr Khaled Saad,Internal Medicine,Noor Clinic,Qena,South,C,1,2024-12-18
D0144,Dr Ahmed El-Sayed,Cardiology,Care Clinic,Alexandria,North,C,1,2024-05-19
D0145,Dr Omar Mostafa,Pediatrics,Noor Clinic,Cairo,Central,B,1,2025-01-30
D0146,Dr Youssef Mahmoud,Pediatrics,Life Clinic,Cairo,Central,C,1,2024-09-22
D0147,Dr Khaled El-Sayed,Endocrinology,Elite Clinic,Riyadh,Gulf,B,0,2025-05-25
D0148,Dr Ali Ali,Neurology,Life Clinic,Port Said,East,A,1,2023-05-06
D0149,Dr Ali Mostafa,Cardiology,Care Clinic,Dubai,Gulf,A,1,2023-05-09
D0150,Dr Khaled Hassan,Endocrinology,Hope Clinic,Damanhur,North,C,1,2023-08-27
D0151,Dr Mohamed El-Sayed,Pulmonology,Elite Clinic,Tanta,North,C,1,2025-03-28
D0152,Dr Khaled El-Sayed,Cardiology,Care Clinic,Alexandria,North,B,1,2024-08-25
D0153,Dr Ahmed Ali,Pulmonology,Noor Clinic,Ismailia,East,C,1,2025-02-02
D0154,Dr Ahmed Saad,Internal Medicine,Elite Clinic,Port Said,East,B,1,2024-09-21
D0155,Dr Ali Ali,ENT,Noor Clinic,Giza,Central,C,1,2024-05-05
D0156,Dr Khaled Mostafa,ENT,Care Clinic,Dubai,Gulf,C,1,2023-03-24
D0157,Dr Khaled Ali,Gastroenterology,Hope Clinic,Alexandria,North,C,1,2024-12-30
D0158,Dr Omar El-Sayed,ENT,Elite Clinic,Giza,Central,C,1,2025-03-23
D0159,Dr Khaled Ali,Endocrinology,Noor Clinic,Jeddah,Gulf,B,1,2024-02-28
D0160,Dr Mohamed Saad,Neurology,Noor Clinic,Marsa Matruh,West,B,1,2024-01-19
D0161,Dr Khaled Hassan,Internal Medicine,Hope Clinic,Alexandria,North,A,1,2025-01-26
D0162,Dr Khaled Saad,General Practice,Noor Clinic,Damanhur,North,C,1,2024-02-25
D0163,Dr Hassan Hassan,Gastroenterology,Care Clinic,Dubai,Gulf,C,1,2024-08-14
D0164,Dr Khaled El-Sayed,Endocrinology,Shifa Clinic,Riyadh,Gulf,C,1,2024-07-23
D0165,Dr Hassan Mostafa,Pediatrics,Elite Clinic,Cairo,Central,C,0,2025-04-18
D0166,Dr Khaled El-Sayed,Cardiology,Care Clinic,Jeddah,Gulf,C,1,2024-12-11
D0167,Dr Ali Hassan,Gastroenterology,Hope Clinic,Port Said,East,C,1,2023-07-05
D0168,Dr Ahmed Saad,Internal Medicine,Hope Clinic,Riyadh,Gulf,A,1,2023-02-01
D0169,Dr Omar Mahmoud,Pediatrics,Hope Clinic,Sohag,South,B,1,2023-11-16
D0170,Dr Omar El-Sayed,Cardiology,Shifa Clinic,Cairo,Central,B,1,2023-02-20
D0171,Dr Ali Mostafa,ENT,Life Clinic,Siwa,West,C,1,2023-08-09
D0172,Dr Hassan Saad,Internal Medicine,Shifa Clinic,Suez,East,B,1,2024-05-13
D0173,Dr Khaled Hassan,Pediatrics,Care Clinic,Alexandria,North,C,1,2023-07-29
D0174,Dr Mohamed Hassan,Neurology,Noor Clinic,Suez,East,A,1,2024-03-16
D0175,Dr Ahmed Ali,General Practice,Elite Clinic,Cairo,Central,C,1,2023-12-29
D0176,Dr Hassan Ali,Cardiology,Hope Clinic,Tanta,North,B,1,2023-11-17
D0177,Dr Mohamed Mostafa,Gastroenterology,Noor Clinic,Siwa,West,A,1,2023-11-29
D0178,Dr Hassan Ali,Internal Medicine,Hope Clinic,Riyadh,Gulf,B,1,2024-03-22
D0179,Dr Mohamed El-Sayed,Gastroenterology,Hope Clinic,Tanta,North,C,1,2025-03-08
D0180,Dr Khaled Saad,General Practice,Elite Clinic,Dubai,Gulf,C,0,2023-12-24
D0181,Dr Mohamed Saad,Internal Medicine,Life Clinic,Asyut,South,A,1,2024-09-08
D0182,Dr Youssef Saad,ENT,Hope Clinic,Qena,South,B,1,2024-08-16
D0183,Dr Youssef El-Sayed,Neurology,Noor Clinic,Jeddah,Gulf,C,1,2023-06-04
D0184,Dr Khaled Ali,Gastroenterology,Noor Clinic,Siwa,West,C,1,2023-03-17
D0185,Dr Ali El-Sayed,Neurology,Hope Clinic,Alexandria,North,C,1,2025-06-03
D0186,Dr Ahmed Ali,ENT,Hope Clinic,Giza,Central,C,0,2025-01-26
D0187,Dr Youssef El-Sayed,Neurology,Shifa Clinic,Dubai,Gulf,C,1,2023-03-05
D0188,Dr Youssef Ali,General Practice,Hope Clinic,Dubai,Gulf,C,1,2024-12-25
D0189,Dr Ali Mahmoud,Neurology,Elite Clinic,Cairo,Central,B,1,2024-02-23
D0190,Dr Youssef Mahmoud,Neurology,Shifa Clinic,Cairo,Central,A,1,2024-11-25
D0191,Dr Khaled Mahmoud,Pulmonology,Elite Clinic,Jeddah,Gulf,B,1,2023-05-25
D0192,Dr Khaled Mostafa,Pediatrics,Noor Clinic,Jeddah,Gulf,A,1,2023-03-28
D0193,Dr Omar Mostafa,Pulmonology,Life Clinic,Riyadh,Gulf,C,1,2025-01-26
D0194,Dr Mohamed Hassan,Pediatrics,Shifa Clinic,Jeddah,Gulf,C,1,2023-11-13
D0195,Dr Ali El-Sayed,Endocrinology,Hope Clinic,Marsa Matruh,West,C,1,2023-10-30
D0196,Dr Youssef Hassan,Neurology,Care Clinic,Cairo,Central,C,1,2024-09-03
D0197,Dr Omar Saad,Pulmonology,Care Clinic,Qena,South,C,1,2024-01-09
D0198,Dr Ali Ali,ENT,Care Clinic,Siwa,West,B,1,2025-04-08
D0199,Dr Hassan Mostafa,ENT,Noor Clinic,Port Said,East,B,1,2024-01-27
D0200,Dr Ali Mahmoud,Pulmonology,Hope Clinic,Asyut,South,C,1,2024-05-07
D0201,Dr Mohamed Mahmoud,General Practice,Noor Clinic,Damanhur,North,C,1,2025-02-20
D0202,Dr Youssef Mahmoud,Pediatrics,Life Clinic,Cairo,Central,A,0,2025-04-16
D0203,Dr Khaled Hassan,Pediatrics,Life Clinic,Marsa Matruh,West,C,1,2023-03-25
D0204,Dr Ali Ali,Neurology,Elite Clinic,Ismailia,East,C,1,2023-10-21
D0205,Dr Ahmed Mahmoud,ENT,Care Clinic,Qena,South,B,1,2023-03-23
D0206,Dr Khaled El-Sayed,General Practice,Life Clinic,Qena,South,B,1,2023-09-01
D0207,Dr Hassan Mostafa,ENT,Life Clinic,Sohag,South,A,1,2024-05-26
D0208,Dr Hassan Mahmoud,Endocrinology,Care Clinic,Jeddah,Gulf,C,1,2023-01-02
D0209,Dr Ahmed Mostafa,Pulmonology,Hope Clinic,Giza,Central,C,1,2024-01-05
D0210,Dr Khaled Mahmoud,Pediatrics,Elite Clinic,Cairo,Central,C,1,2024-02-01
D0211,Dr Ahmed Mostafa,Internal Medicine,Elite Clinic,Tanta,North,B,1,2024-10-05
D0212,Dr Mohamed Saad,Cardiology,Noor Clinic,Ismailia,East,B,1,2024-10-20
D0213,Dr Youssef El-Sayed,Pulmonology,Shifa Clinic,Riyadh,Gulf,C,1,2025-03-05
D0214,Dr Hassan Ali,Endocrinology,Hope Clinic,Asyut,South,C,1,2023-11-14
D0215,Dr Ali El-Sayed,Cardiology,Elite Clinic,Siwa,West,C,1,2024-01-01
D0216,Dr Omar Ali,Internal Medicine,Noor Clinic,Suez,East,C,1,2024-02-14
D0217,Dr Hassan Mahmoud,ENT,Life Clinic,Ismailia,East,C,1,2025-03-27
D0218,Dr Hassan Mahmoud,Internal Medicine,Shifa Clinic,Riyadh,Gulf,B,0,2023-07-04
D0219,Dr Omar Ali,Neurology,Care Clinic,Alexandria,North,C,1,2024-09-09
D0220,Dr Hassan Ali,Neurology,Shifa Clinic,Riyadh,Gulf,B,1,2023-12-28
D0221,Dr Ali Saad,Internal Medicine,Elite Clinic,Dubai,Gulf,C,1,2024-06-09
D0222,Dr Ahmed Hassan,Pulmonology,Life Clinic,Asyut,South,C,1,2024-03-24
D0223,Dr Hassan Hassan,Neurology,Elite Clinic,Qena,South,B,0,2023-02-03
D0224,Dr Hassan Mahmoud,Neurology,Noor Clinic,Siwa,West,B,1,2023-05-21
D0225,Dr Mohamed Ali,Gastroenterology,Hope Clinic,Port Said,East,B,1,2025-01-23
D0226,Dr Hassan Mahmoud,Gastroenterology,Elite Clinic,Marsa Matruh,West,C,1,2023-08-08
D0227,Dr Omar Ali,Internal Medicine,Life Clinic,Marsa Matruh,West,A,1,2023-06-26
D0228,Dr Khaled Hassan,Neurology,Elite Clinic,Riyadh,Gulf,C,1,2023-10-25
D0229,Dr Mohamed Hassan,Pulmonology,Care Clinic,Jeddah,Gulf,C,1,2023-05-05
D0230,Dr Hassan Hassan,Neurology,Hope Clinic,Marsa Matruh,West,C,1,2025-04-02
D0231,Dr Hassan Ali,Gastroenterology,Noor Clinic,Alexandria,North,B,1,2024-05-05
D0232,Dr Youssef Saad,Pulmonology,Hope Clinic,Cairo,Central,C,1,2024-04-05
D0233,Dr Youssef Mostafa,General Practice,Life Clinic,Ismailia,East,C,1,2023-05-13
D0234,Dr Mohamed Mahmoud,Pulmonology,Hope Clinic,Damanhur,North,B,1,2024-12-27
D0235,Dr Mohamed Saad,Gastroenterology,Shifa Clinic,Ismailia,East,B,0,2023-10-09
D0236,Dr Mohamed Hassan,General Practice,Elite Clinic,Cairo,Central,C,1,2024-08-17
D0237,Dr Omar Mostafa,Cardiology,Shifa Clinic,Giza,Central,C,1,2023-02-16
D0238,Dr Hassan Mahmoud,Pediatrics,Elite Clinic,Dubai,Gulf,C,1,2024-10-04
D0239,Dr Youssef El-Sayed,Endocrinology,Elite Clinic,Suez,East,C,1,2023-11-01
D0240,Dr Hassan Hassan,ENT,Shifa Clinic,Alexandria,North,B,1,2023-12-15
D0241,Dr Hassan Mostafa,Neurology,Life Clinic,Riyadh,Gulf,C,1,2024-01-15
D0242,Dr Ahmed El-Sayed,ENT,Shifa Clinic,Ismailia,East,A,1,2023-05-25
D0243,Dr Khaled Mostafa,Endocrinology,Elite Clinic,Siwa,West,C,0,2025-04-13
D0244,Dr Khaled Ali,Pulmonology,Life Clinic,Ismailia,East,B,1,2024-05-25
D0245,Dr Khaled El-Sayed,General Practice,Life Clinic,Tanta,North,B,1,2024-08-20
D0246,Dr Youssef Hassan,ENT,Shifa Clinic,Suez,East,B,1,2023-04-21
D0247,Dr Hassan Hassan,Pediatrics,Shifa Clinic,Riyadh,Gulf,B,1,2024-08-06
D0248,Dr Khaled Mostafa,Internal Medicine,Elite Clinic,Giza,Central,B,1,2024-07-17
D0249,Dr Khaled Mostafa,Pulmonology,Shifa Clinic,Cairo,Central,C,1,2025-03-24
D0250,Dr Mohamed Saad,General Practice,Shifa Clinic,Asyut,South,B,1,2023-02-09
D0251,Dr Hassan Mahmoud,Pulmonology,Care Clinic,Siwa,West,C,1,2023-12-02
D0252,Dr Omar Mostafa,Neurology,Shifa Clinic,Siwa,West,C,1,2024-05-16
D0253,Dr Hassan Mahmoud,Neurology,Elite Clinic,Marsa Matruh,West,B,1,2024-03-02
D0254,Dr Ali Mostafa,Cardiology,Hope Clinic,Jeddah,Gulf,C,1,2024-11-02
D0255,Dr Omar Mostafa,Cardiology,Noor Clinic,Qena,South,C,1,2024-10-06
D0256,Dr Mohamed El-Sayed,Endocrinology,Noor Clinic,Qena,South,A,0,2023-04-23
D0257,Dr Ali Mostafa,Pulmonology,Noor Clinic,Suez,East,B,1,2024-05-28
D0258,Dr Khaled Saad,Cardiology,Noor Clinic,Jeddah,Gulf,C,1,2024-07-28
D0259,Dr Khaled Mostafa,Neurology,Shifa Clinic,Giza,Central,C,1,2024-06-29
D0260,Dr Khaled Mostafa,Gastroenterology,Shifa Clinic,Jeddah,Gulf,C,1,2023-09-10
D0261,Dr Khaled Ali,Gastroenterology,Shifa Clinic,Sohag,South,C,1,2024-05-15
D0262,Dr Youssef Mahmoud,Gastroenterology,Care Clinic,Giza,Central,A,1,2024-01-24
D0263,Dr Omar Mahmoud,Gastroenterology,Elite Clinic,Ismailia,East,C,1,2024-03-28
D0264,Dr Omar Mahmoud,Endocrinology,Care Clinic,Marsa Matruh,West,C,1,2024-07-29
D0265,Dr Mohamed Saad,Endocrinology,Care Clinic,Damanhur,North,B,1,2024-06-27
D0266,Dr Ali Hassan,Pediatrics,Life Clinic,Alexandria,North,B,1,2024-11-28
D0267,Dr Youssef Saad,Pediatrics,Care Clinic,Cairo,Central,C,1,2024-05-02
D0268,Dr Omar Mostafa,Gastroenterology,Care Clinic,Suez,East,C,0,2023-04-02
D0269,Dr Ali Ali,Pulmonology,Noor Clinic,Cairo,Central,B,1,2023-02-07
D0270,Dr Hassan El-Sayed,Gastroenterology,Shifa Clinic,Qena,South,C,1,2024-08-04
D0271,Dr Ali Mostafa,General Practice,Noor Clinic,Suez,East,C,1,2023-05-18
D0272,Dr Khaled Saad,Internal Medicine,Care Clinic,Ismailia,East,B,1,2024-10-25
D0273,Dr Mohamed Hassan,Neurology,Hope Clinic,Damanhur,North,C,1,2025-02-14
D0274,Dr Ahmed Hassan,Pediatrics,Care Clinic,Riyadh,Gulf,C,1,2024-11-16
D0275,Dr Ali Mahmoud,Endocrinology,Shifa Clinic,Siwa,West,A,1,2024-04-02
D0276,Dr Ahmed Saad,Cardiology,Life Clinic,Port Said,East,B,1,2023-08-30
D0277,Dr Ali Mahmoud,Pulmonology,Elite Clinic,Siwa,West,B,1,2024-12-21
D0278,Dr Youssef Hassan,Gastroenterology,Noor Clinic,Damanhur,North,B,1,2023-05-17
D0279,Dr Ali Mostafa,Neurology,Elite Clinic,Jeddah,Gulf,B,1,2024-04-27
